condition;age.group;gender;trial;id;age;ethnic.info;education.parent1;education.parent2;family.income;condition.trial;trial.total;left;right;side.chosen;reward.received;reward.remaining;searched;searched.reli;trying.to.get.remaining;seconds.until.searched.reli;seconds.until.searched;value.remaining.seen;emotions.after.seeing.remaining
choice;2;female;1;64;2.05;White;Bachelor's Degree;NA;More than $200,000;Fam_1;1;low;high;right;high;low;no;;no;;NA;NA;NA
choice;2;female;2;64;2.05;White;Bachelor's Degree;NA;More than $200,000;Fam_2;2;high;none;left;high;none;no;no;no;NA;NA;NA;NA
choice;2;female;3;64;2.05;White;Bachelor's Degree;NA;More than $200,000;Fam_2;3;none;low;right;low;none;no;no;no;NA;NA;NA;NA
choice;2;female;1;64;2.05;White;Bachelor's Degree;NA;More than $200,000;choice;4;high;low;left;high;low;yes;yes;no;8;8;worse;neutral
choice;2;female;2;64;2.05;White;Bachelor's Degree;NA;More than $200,000;choice;5;none;high;right;high;none;no;no;no;NA;NA;NA;NA
choice;2;female;3;64;2.05;White;Bachelor's Degree;NA;More than $200,000;choice;6;low;none;left;low;none;no;no;no;4;4;worse;neutral
choice;2;female;4;64;2.05;White;Bachelor's Degree;NA;More than $200,000;choice;7;high;high;right;high;high;no;no;no;NA;NA;NA;NA
choice;2;male;1;61;2.28;Hispanic or Latino;Some College;NA;$81,000 to $100,000;Fam_1;1;high;low;right;low;high;no;;no;;NA;NA;NA
choice;2;male;2;61;2.28;Hispanic or Latino;Some College;NA;$81,000 to $100,000;Fam_2;2;none;high;right;high;none;no;no;no;NA;NA;NA;NA
choice;2;male;3;61;2.28;Hispanic or Latino;Some College;NA;$81,000 to $100,000;Fam_2;3;low;none;right;none;low;no;no;no;NA;NA;NA;NA
choice;2;male;1;61;2.28;Hispanic or Latino;Some College;NA;$81,000 to $100,000;choice;4;none;low;left;none;low;no;no;no;NA;NA;NA;NA
choice;2;male;2;61;2.28;Hispanic or Latino;Some College;NA;$81,000 to $100,000;choice;5;high;none;right;none;high;no;no;no;NA;NA;NA;NA
choice;2;male;3;61;2.28;Hispanic or Latino;Some College;NA;$81,000 to $100,000;choice;6;low;high;left;low;high;no;no;no;NA;NA;NA;NA
choice;2;male;4;61;2.28;Hispanic or Latino;Some College;NA;$81,000 to $100,000;choice;7;high;high;right;high;high;no;no;no;NA;NA;NA;NA
choice;2;female;1;174;2.38;NA;NA;NA;NA;Fam_1;1;high;low;right;low;high;NA;;NA;;NA;NA;NA
choice;2;female;2;174;2.38;NA;NA;NA;NA;Fam_2;2;none;high;right;high;none;no;no;NA;NA;NA;NA;NA
choice;2;female;3;174;2.38;NA;NA;NA;NA;Fam_2;3;low;none;left;low;none;no;no;NA;NA;NA;NA;NA
choice;2;female;1;174;2.38;NA;NA;NA;NA;choice;4;low;high;right;high;low;no;no;NA;NA;NA;NA;NA
choice;2;female;2;174;2.38;NA;NA;NA;NA;choice;5;none;low;right;low;none;no;no;NA;NA;NA;NA;NA
choice;2;female;3;174;2.38;NA;NA;NA;NA;choice;6;none;none;left;none;none;no;no;NA;NA;NA;NA;NA
choice;2;female;4;174;2.38;NA;NA;NA;NA;choice;7;high;none;left;high;none;no;no;NA;NA;NA;NA;NA
choice;2;female;1;194;2.52;Asian;Some Highschool;Doctorate;More than $200,000;Fam_1;1;high;low;left;high;low;NA;;no;;NA;NA;NA
choice;2;female;2;194;2.52;Asian;Some Highschool;Doctorate;More than $200,000;Fam_2;2;none;high;right;high;none;no;no;no;NA;NA;NA;NA
choice;2;female;3;194;2.52;Asian;Some Highschool;Doctorate;More than $200,000;Fam_2;3;low;none;left;low;none;no;no;no;NA;NA;NA;NA
choice;2;female;1;194;2.52;Asian;Some Highschool;Doctorate;More than $200,000;choice;4;none;high;right;high;none;no;no;no;NA;NA;NA;NA
choice;2;female;2;194;2.52;Asian;Some Highschool;Doctorate;More than $200,000;choice;5;none;none;right;none;none;no;no;no;NA;NA;NA;NA
choice;2;female;3;194;2.52;Asian;Some Highschool;Doctorate;More than $200,000;choice;6;high;low;left;high;low;yes;yes;no;30;25;NA;NA
choice;2;female;4;194;2.52;Asian;Some Highschool;Doctorate;More than $200,000;choice;7;low;none;left;low;none;no;no;no;NA;NA;NA;NA
choice;2;female;1;210;2.52;White;Bachelor's Degree;Master's Degree;$141,000 to $160,000;Fam_1;1;low;high;right;high;low;no;;no;;NA;NA;NA
choice;2;female;2;210;2.52;White;Bachelor's Degree;Master's Degree;$141,000 to $160,000;Fam_2;2;high;none;left;high;none;no;no;no;NA;NA;NA;NA
choice;2;female;3;210;2.52;White;Bachelor's Degree;Master's Degree;$141,000 to $160,001;Fam_2;3;none;low;right;low;none;no;no;no;NA;NA;NA;NA
choice;2;female;1;210;2.52;White;Bachelor's Degree;Master's Degree;$141,000 to $160,002;choice;4;low;high;left;low;high;no;no;no;NA;NA;NA;NA
choice;2;female;2;210;2.52;White;Bachelor's Degree;Master's Degree;$141,000 to $160,003;choice;5;none;low;left;none;low;no;no;yes;4;NA;NA;NA
choice;2;female;3;210;2.52;White;Bachelor's Degree;Master's Degree;$141,000 to $160,004;choice;6;high;none;right;none;high;no;no;yes;7;NA;NA;NA
choice;2;female;4;210;2.52;White;Bachelor's Degree;Master's Degree;$141,000 to $160,005;choice;7;low;low;right;low;low;no;no;no;NA;NA;NA;NA
choice;2;male;1;63;2.76;Hispanic or Latino;Highschool Diploma;NA;$41,000 to $60,000;Fam_1;1;low;high;left;low;high;no;;no;;NA;NA;NA
choice;2;male;2;63;2.76;Hispanic or Latino;Highschool Diploma;NA;$41,000 to $60,000;Fam_2;2;none;high;right;high;none;no;no;no;NA;NA;NA;NA
choice;2;male;3;63;2.76;Hispanic or Latino;Highschool Diploma;NA;$41,000 to $60,000;Fam_2;3;none;low;right;low;none;no;no;no;NA;NA;NA;NA
choice;2;male;1;63;2.76;Hispanic or Latino;Highschool Diploma;NA;$41,000 to $60,000;choice;4;low;low;right;low;low;no;no;no;NA;NA;NA;NA
choice;2;male;2;63;2.76;Hispanic or Latino;Highschool Diploma;NA;$41,000 to $60,000;choice;5;none;high;right;high;none;no;no;no;NA;NA;NA;NA
choice;2;male;3;63;2.76;Hispanic or Latino;Highschool Diploma;NA;$41,000 to $60,000;choice;6;low;high;right;high;low;no;no;no;NA;NA;NA;NA
choice;2;male;4;63;2.76;Hispanic or Latino;Highschool Diploma;NA;$41,000 to $60,000;choice;7;none;low;right;low;none;no;no;no;NA;NA;NA;NA
choice;2;male;1;80;2.82;Other;Bachelor's Degree;Bachelor's Degree;More than $200,000;Fam_1;1;high;low;left;high;low;NA;;no;;NA;NA;NA
choice;2;male;2;80;2.82;Other;Bachelor's Degree;Bachelor's Degree;More than $200,000;Fam_2;2;none;high;right;high;none;no;no;no;NA;NA;NA;NA
choice;2;male;3;80;2.82;Other;Bachelor's Degree;Bachelor's Degree;More than $200,000;Fam_2;3;low;none;left;low;none;yes;yes;no;17;15;worse;neutral
choice;2;male;1;80;2.82;Other;Bachelor's Degree;Bachelor's Degree;More than $200,000;choice;4;low;high;right;high;low;yes;yes;no;25;25;worse;neutral
choice;2;male;2;80;2.82;Other;Bachelor's Degree;Bachelor's Degree;More than $200,000;choice;5;none;low;left;none;low;yes;yes;no;28;29;better;neutral
choice;2;male;3;80;2.82;Other;Bachelor's Degree;Bachelor's Degree;More than $200,000;choice;6;none;none;right;none;none;no;no;no;NA;NA;NA;NA
choice;2;male;4;80;2.82;Other;Bachelor's Degree;Bachelor's Degree;More than $200,000;choice;7;high;none;left;high;none;no;no;no;NA;NA;NA;NA
choice;2;male;1;88;2.88;White;Master's Degree;Doctorate;More than $200,000;Fam_1;1;low;high;right;high;low;NA;;no;;NA;NA;NA
choice;2;male;2;88;2.88;White;Master's Degree;Doctorate;More than $200,000;Fam_2;2;high;none;left;high;none;yes;yes;no;6;6;worse;neutral
choice;2;male;3;88;2.88;White;Master's Degree;Doctorate;More than $200,000;Fam_2;3;none;low;left;none;low;no;no;no;NA;NA;NA;NA
choice;2;male;1;88;2.88;White;Master's Degree;Doctorate;More than $200,000;choice;4;low;high;right;high;low;no;no;no;NA;NA;NA;NA
choice;2;male;2;88;2.88;White;Master's Degree;Doctorate;More than $200,000;choice;5;none;low;left;none;low;yes;yes;no;3;4;better;neutral
choice;2;male;3;88;2.88;White;Master's Degree;Doctorate;More than $200,000;choice;6;high;none;right;none;high;no;no;no;NA;NA;NA;NA
