id;name;gender;birth_year;age;day;condition_day;condition;trial;left;right;side.chosen;side.chosen.reli;repetition;repetition.reason;food.received;food.received.reli;food.remaining;food.remaining.reli;searched;searched.reli;seconds.until.searched;seconds.until.searched.reli;value.remaining.seen;value.remaining.seen.reli;turned.away;turned.away.reli;time.from.last.gaze.to.back.of.head.to.camera;time.from.last.gaze.to.back.of.head.to.camera.reli;emotional.displays;comments;;;;;
13;Asega;male;1998;23;4;choice_1;choice;1;high;high;right;;;;high;;high;;yes;;2;;same;;yes;;2;;no;tried to pull both ropes at first;;;;;
13;Asega;male;1998;23;4;choice_1;choice;2;none;low;right;;;;low;;none;;yes;;5;;worse;;yes;;5;;no;;;;;;
13;Asega;male;1998;23;4;choice_1;choice;3;high;none;left;;;;high;;none;;yes;;3;;worse;;yes;;4;;no;;;;;;
13;Asega;male;1998;23;4;choice_1;choice;4;low;low;right;;;;low;;low;;yes;;2;;same;;yes;;4;;no;;;;;;
13;Asega;male;1998;23;4;choice_1;choice;5;low;high;left;;;;low;;high;;yes;;15;;better;;yes;;3;;no;;;;;;
13;Asega;male;1998;23;4;choice_1;choice;6;none;none;right;;;;none;;none;;yes;;3;;same;;yes;;2;;no;;;;;;
13;Asega;male;1998;23;6;choice_2;choice;1;high;low;left;;;;high;;low;;yes;;2;;worse;;yes;;3;;no;;;;;;
13;Asega;male;1998;23;6;choice_2;choice;2;low;none;left;;;;low;;none;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
13;Asega;male;1998;23;6;choice_2;choice;3;none;high;right;;;;high;;none;;yes;;1;;worse;;yes;;25;;no;took a 2nd look;;;;;
13;Asega;male;1998;23;6;choice_2;choice;4;low;low;right;;;;low;;low;;yes;;2;;same;;yes;;4;;no;;;;;;
13;Asega;male;1998;23;6;choice_2;choice;5;high;high;right;;;;high;;high;;yes;;2;;same;;yes;;2;;no;;;;;;
13;Asega;male;1998;23;6;choice_2;choice;6;none;none;right;;;;none;;none;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
13;Asega;male;1998;23;8;choice_3;choice;1;high;low;right;;;;low;;high;;yes;;2;;better;;yes;;1;;no;looked, but eyeline not above marker;;;;;
13;Asega;male;1998;23;8;choice_3;choice;2;none;low;left;;;;none;;low;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
13;Asega;male;1998;23;8;choice_3;choice;3;low;none;left;;;;low;;none;;no;;NA;;NA;;NA;;NA;;no;;;;;;
13;Asega;male;1998;23;8;choice_3;choice;4;none;high;right;;;;high;;none;;yes;;2;;worse;;yes;;1;;no;;;;;;
13;Asega;male;1998;23;8;choice_3;choice;5;high;none;left;;;;high;;none;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
13;Asega;male;1998;23;8;choice_3;choice;6;low;high;left;;;;low;;high;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
13;Asega;male;1998;23;1;control_1;control;1;high;high;left;;;;high;;high;;yes;;4;;same;;yes;;2;;no;;;;;;
