			"left.
location"	"middle.
location"	"right.
location"	available		if.pulled	"searched.
remaining.
unchosen"	emotion	"searched.
remaining.
unavailable"	emotion		if.pulled	"searched.
remaining.
unchosen"	emotion	"searched.
remaining.
unavailable"	emotion
1	choice	1	high	none	none	middle - right		none	same		better			none	same		better	
1	choice	2	low	high	high	left - middle		low	better		better			high	worse		same	
1	choice	3	none	high	high	left - right		none	better		better			high	worse		same	
1	choice	4	high	high	low	middle - right		high	worse		same			low	better		better	
1	choice	5	low	low	high	left - middle		low	same		better			low	same		better	
1	choice	6	high	high	high	left - right		high	same		same			high	same		same	
1	choice	7	low	high	none	left - right		low	worse		better			none	better		better	
1	choice	8	high	none	low	middle - right		none	better		better			low	worse		better	
1	choice	9	high	low	low	left - middle		high	worse		worse			low	better		same	
																		
2	choice	1	low	low	none	middle - right		low	worse		same			none	better		better	
2	choice	2	none	none	none	left - middle		none	same		same			none	same		same	
2	choice	3	low	low	high	left - right		low	better		same			high	worse		worse	
2	choice	4	low	none	high	middle - right		none	better		better			high	worse		worse	
2	choice	5	high	none	high	left - middle		high	worse		same			none	better		better	
2	choice	6	low	none	low	left - right		low	same		worse			low	same		worse	
2	choice	7	none	high	high	middle - right		high	same		worse			high	same		worse	
2	choice	8	high	none	low	left - right		high	worse		worse			low	better		worse	
2	choice	9	none	low	low	left - middle		none	better		better			low	worse		same	
																		
3	choice	1	none	high	none	left - middle		none	better		same			high	worse		worse	
3	choice	2	none	low	high	middle - right		low	better		worse			high	worse		worse	
3	choice	3	none	none	low	left - right		none	better		same			low	worse		worse	
3	choice	4	low	none	none	left - middle		low	worse		worse			none	better		same	
3	choice	5	high	low	none	left - right		high	worse		worse			none	better		better	
3	choice	6	low	low	low	middle - right		low	same		same			low	same		same	
3	choice	7	high	high	low	left - middle		high	same		worse			high	same		worse	
3	choice	8	none	low	none	left - right		none	same		better			none	same		better	
3	choice	9	none	high	none	middle - right		high	worse		worse			none	better		same	
																		
1	no-choice	1	high	none	none	middle - right		none	same		better			none	same		better	
1	no-choice	2	low	high	high	left - middle		low	better		better			high	worse		same	
1	no-choice	3	none	high	high	left - right		none	better		better			high	worse		same	
1	no-choice	4	high	high	low	middle - right		high	worse		same			low	better		better	
1	no-choice	5	low	low	high	left - middle		low	same		better			low	same		better	
1	no-choice	6	high	high	high	left - right		high	same		same			high	same		same	
1	no-choice	7	low	high	none	left - right		low	worse		better			none	better		better	
1	no-choice	8	high	none	low	middle - right		none	better		better			low	worse		better	
1	no-choice	9	high	low	low	left - middle		high	worse		worse			low	better		same	
																		
2	no-choice	1	low	low	none	middle - right		low	worse		same			none	better		better	
2	no-choice	2	none	none	none	left - middle		none	same		same			none	same		same	
2	no-choice	3	low	low	high	left - right		low	better		same			high	worse		worse	
2	no-choice	4	low	none	high	middle - right		none	better		better			high	worse		worse	
2	no-choice	5	high	none	high	left - middle		high	worse		same			none	better		better	
2	no-choice	6	low	none	low	left - right		low	same		worse			low	same		worse	
2	no-choice	7	none	high	high	middle - right		high	same		worse			high	same		worse	
2	no-choice	8	high	none	low	left - right		high	worse		worse			low	better		worse	
2	no-choice	9	none	low	low	left - middle		none	better		better			low	worse		same	
																		
3	no-choice	1	none	high	none	left - middle		none	better		same			high	worse		worse	
3	no-choice	2	none	low	high	middle - right		low	better		worse			high	worse		worse	
3	no-choice	3	none	none	low	left - right		none	better		same			low	worse		worse	
3	no-choice	4	low	none	none	left - middle		low	worse		worse			none	better		same	
3	no-choice	5	high	low	none	left - right		high	worse		worse			none	better		better	
3	no-choice	6	low	low	low	middle - right		low	same		same			low	same		same	
3	no-choice	7	high	high	low	left - middle		high	same		worse			high	same		worse	
3	no-choice	8	none	low	none	left - right		none	same		better			none	same		better	
3	no-choice	9	none	high	none	middle - right		high	worse		worse			none	better		same	
																		
